area,titulo,descripcion,estado,origen_tipo,mesa,fecha_limite,ultima_actualizacion,derivacion_en_el_db,cargas_en_el_db,fuente
Seguridad,Compactación,Compactar en EDLA cuando se realice la limpieza del muro..,pendiente,mesa,Mesa EDLA,,2026-08-17,Dirección,3,_db cualitativo (auditado 25-28/08)
Seguridad,Conflictividades y violencias,Articular protocolo contra incendios con fiscalización y control,pendiente,seguimiento,,,2026-08-17,Dirección,7,_db cualitativo (auditado 25-28/08)
Seguridad,Defensa civil |,Evaluar la posibilidad de cortar los autos por la mitad según la respuesta de fiscalía general,pendiente,mesa,Mesa Esperanza,,2026-08-17,"., Dirección",9,_db cualitativo (auditado 25-28/08)
Seguridad,Destacamento policial,Gendarmería va a caminar por el barrio.,pendiente,mesa,Mesa EDLA,,2026-08-17,Dirección,3,_db cualitativo (auditado 25-28/08)
Seguridad,Estadística delictivas,Agrupar para la próxima reunión de seguimiento las estadísticas delictivas por comisarías,pendiente,seguimiento,,,2026-08-17,Dirección,7,_db cualitativo (auditado 25-28/08)
Seguridad,Firpo,Ver como se puede mejorar el acceso del predio,pendiente,seguimiento,,,2026-08-17,Dirección,7,_db cualitativo (auditado 25-28/08)
Seguridad,Flota,Implementar ordenanza con plazos y procedimientos correspondientes para municipalizar los vehículos secuestrados del CP,pendiente,seguimiento,,,2026-08-17,Dirección,7,_db cualitativo (auditado 25-28/08)
Seguridad,Horas extras,Realizar un informe sobre las Horas extras de Seguridad vial,pendiente,seguimiento,,,2026-08-17,Dirección,12,_db cualitativo (auditado 25-28/08)
Seguridad,Laboratorio de imágenes,Chequear si es viable comunicar la causa IPP 15-00-032441-25 y IPP 15-00-015440-26,pendiente,seguimiento,,,2026-08-17,Dirección,19,_db cualitativo (auditado 25-28/08)
Seguridad,Luminaria,Evaluar la situación de las luces,pendiente,mesa,Mesa Esperanza,,2026-08-17,Dirección,9,_db cualitativo (auditado 25-28/08)
Seguridad,Maquinas controller,"Evaluar opciones alternativas al sistema. Se esta viendo con Pancho , las baterias estan detonadas. Pendiente ver formato papel de impresion, cantidad de maquinas y la necesidad de lineas telefonicas",pendiente,seguimiento,,,2026-08-17,Dirección,12,_db cualitativo (auditado 25-28/08)
Seguridad,Mayor capacidad en playón de remisión,Pendiente adaptar la base de ciudad Jardín,en_curso,seguimiento,,,2026-08-17,Dirección,16,_db cualitativo (auditado 25-28/08)
Seguridad,Mejora Integral del Sistema de Monitoreo,Ver posibilidad de incorporar materiales para reponer cámaras dañadas durante el 2025,en_curso,seguimiento,,,2026-06-15,Dirección,7,_db cualitativo (auditado 25-28/08)
Seguridad,Moto escuela,Ver horas extras mediante la gestión de operaciones especiales,pendiente,seguimiento,,,2026-06-15,Dirección,3,_db cualitativo (auditado 25-28/08)
Seguridad,Oficina sin intenet,Ver con Defensa Civil tema internet en la oficina de defensa civil. · | Urquiza,pendiente,mesa,Mesa EDLA,,2026-04-06,Dirección,2,_db cualitativo (auditado 25-28/08)
Seguridad,Operativos en Ciudad Jardín,Coordinar con policía para disuadir la locación como punto de encuentro,pendiente,seguimiento,,,2026-08-17,Dirección,7,_db cualitativo (auditado 25-28/08)
Seguridad,Operativos fijos,Pendiente ver horas polad en base,pendiente,seguimiento,,,2026-08-17,Dirección,12,_db cualitativo (auditado 25-28/08)
Seguridad,Plan de bloqueo,Ver posibilidad de instalar un medio de contención sobre camino del arroyo morón para delimitar el arrojo de autos abandonados,pendiente,mesa,Mesa Esperanza,,2026-08-17,Dirección,14,_db cualitativo (auditado 25-28/08)
Seguridad,Playón de remoción en Urquiza,Continuar el seguimiento de la obra,pendiente,seguimiento,,,2026-08-17,Dirección,12,_db cualitativo (auditado 25-28/08)
Seguridad,Presencia policial,Ver posibilidad de que el personal policial se ubique también fuera de la garita en el camino del Arroyo Morón,pendiente,mesa,Mesa Esperanza,,2026-08-17,Dirección,14,_db cualitativo (auditado 25-28/08)
Seguridad,Remocion de vehiculos en el arroyo,Planificar operativo para la remoción de vehículos restantes,en_curso,mesa,Mesa Esperanza,,2026-02-23,,1,_db cualitativo (auditado 25-28/08)
Seguridad,Remoción de camiones abandonados,Planificar con tránsito el retiro de camiones abandonados a la vuelta de la escuela,pendiente,mesa,Mesa EDLA,,2026-04-06,Dirección,6,_db cualitativo (auditado 25-28/08)
Seguridad,Reparacion de vehiculos de flota,Realizar seguimiento al SUM 302,pendiente,seguimiento,,,2026-08-17,Dirección,12,_db cualitativo (auditado 25-28/08)
Seguridad,Retiro de vehiculos abandonados,Semana del 16/3,pendiente,mesa,Mesa EDLA,,2026-04-06,Dirección,4,_db cualitativo (auditado 25-28/08)
Seguridad,SUM,Seguir el SUM 248,pendiente,seguimiento,,,2026-08-17,Dirección,7,_db cualitativo (auditado 25-28/08)
Seguridad,Salidas diurnas,Analizar la posibilidad de alcanzar salidas entre 15 y 18 moviles · Analizar la posibilidad de alcanzar salidas entre 15 y 18 moviles,en_curso,seguimiento,,,2026-06-15,Dirección,8,_db cualitativo (auditado 25-28/08)
Seguridad,Secuestro de vehículos,Retomar tema para próximo seguimiento,pendiente,seguimiento,,,2026-08-17,Dirección,12,_db cualitativo (auditado 25-28/08)
Seguridad,Sistema controller,Incorporar el sistema con el control de estacionamiento,pendiente,seguimiento,,,2026-08-17,Dirección,7,_db cualitativo (auditado 25-28/08)
Seguridad,Tercera edad,Pendiente coordinar campaña de comunicación,pendiente,seguimiento,,,2026-08-17,Dirección,12,_db cualitativo (auditado 25-28/08)
Trabajo y Produccion,Agenda de trabajo,Continuar con el proyecto de armar una agenda de trabajo con los proyectos mencionados en la reunión.,pendiente,mesa,Mesa Esperanza,,2026-06-08,Dirección,8,_db cualitativo (auditado 25-28/08)
Trabajo y Produccion,Feria medieval,Ver la posibilidad de cambiar las fechas de la feria medieval para el mes de septiembre,pendiente,seguimiento,,,2026-08-17,Dirección,9,_db cualitativo (auditado 25-28/08)
Trabajo y Produccion,Higrometro,Prueba en el tunel de caseros · Coordinar visita de Roco cuando esté funcionando el dispositivo,pendiente,seguimiento,,,2026-08-17,Dirección,9,_db cualitativo (auditado 25-28/08)
Trabajo y Produccion,Innovación pyme 3f,Continuar con el proyecto de arancelar los cursos par aquellos que no sean de 3F,pendiente,seguimiento,,,2026-05-04,Dirección,1,_db cualitativo (auditado 25-28/08)
Trabajo y Produccion,Inversiones,Encontrar un terreno a la venta para ofrecerselo a la empresa de biotecnología que quiere invertir en 3F,pendiente,seguimiento,,,2026-08-17,Secretaría,1,_db cualitativo (auditado 25-28/08)
Trabajo y Produccion,Plazas,Ver posibilidad de concesionar el espacio de plazas para usarlo comercialmente,pendiente,seguimiento,,,2026-08-17,Dirección,10,_db cualitativo (auditado 25-28/08)
Trabajo y Produccion,Premio Pala,Definir la ubicación de la entrega del premio pala según cantidad de asistentes,pendiente,seguimiento,,,2026-08-17,Dirección,9,_db cualitativo (auditado 25-28/08)
Trabajo y Produccion,Prueba 2,Prueba 2,en_curso,mesa,Mesa EDLA,,2026-04-13,,4,_db cualitativo (auditado 25-28/08)
Trabajo y Produccion,“Sico Mobile”,Coordinar con Modernización para presentar el proyecto.,pendiente,seguimiento,,,2026-08-17,Dirección,17,_db cualitativo (auditado 25-28/08)
Obras,PBN Hornos,7/9 Cierre de Hornos. Apertura de Cavassa. Pasar barrera de América a Cavassa y determinar fecha de apertura de ese PBN.,pendiente,seguimiento,,2026-10-01,2026-08-20,,,PDF Seguimiento Obras 20/08/2026
Obras,Difusión demolición parrilla,Articular con comunicación la difusión de la demolición de la parrilla.,pendiente,seguimiento,,2026-10-01,2026-08-20,,,PDF Seguimiento Obras 20/08/2026
Obras,Cartelería escolar,Articular con Educación para ver la posibilidad de comprar cartelería vial para entornos de escuelas con Fondo Educativo.,pendiente,seguimiento,,2026-10-01,2026-08-20,,,PDF Seguimiento Obras 20/08/2026
Obras,Estudio Observacional,Articular con comunicación para publicarlo.,pendiente,seguimiento,,2026-10-01,2026-08-20,,,PDF Seguimiento Obras 20/08/2026
Obras,Obras en ejecución,Coordinar una visita de Roco a la obra de la empresa de motomecánica.,pendiente,seguimiento,,2026-10-01,2026-08-20,,,PDF Seguimiento Obras 20/08/2026
Obras,Viviendas Firpo,Pensar un plan de entrega de viviendas para los lotes de Firpo.,pendiente,seguimiento,,2026-10-01,2026-08-20,,,PDF Seguimiento Obras 20/08/2026
